,,,,,Project,,,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
,S3,,,,,,,,,,,,,,,Soil Taxonomy & Soil Classification Observations,,,,,,,,,,,,,,,,,,,
,,S3a,,,,,,,,,,,,,,Soil Taxonomy,,,,,,,,,,,,,,,,,,,
,,,S3a1,,,,,,,,,,,,,soil_class ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S4a,,,,,,,,,,,,,,Soil Classification Related Observations,,,,,,,,,,,,,,,,,,,
,,,S4a1,,,,,,,,,,,,,soil_andic_ynu,,,,,,,,,,,,,,,,,,,
,,,S4a2,,,,,,,,,,,,,soil_cumul_ash_thick_40cm,,,,,,,,,,,,,,,,,,,
,,,S4a3,,,,,,,,,,,,,soil_cumul_organic_thick_40cm,,,,,,,,,,,,,,,,,,,
,,,S4a4,,,,,,,,,,,,,soil_dom_mineral_40cm,,,,,,,,,,,,,,,,,,,
,,,S4a5,,,,,,,,,,,,,soil_dom_texture_40cm,,,,,,,,,,,,,,,,,,,
,,,S4a6,,,,,,,,,,,,,soil_effervescent_ynu,,,,,,,,,,,,,,,,,,,
,,,S4a7,,,,,,,,,,,,,soil_h2s_ynu,,,,,,,,,,,,,,,,,,,
,,,S4a8,,,,,,,,,,,,,soil_lithic_ynu,,,,,,,,,,,,,,,,,,,
,,,S4a9,,,,,,,,,,,,,soil_loess_thick_cm,,,,,,,,,,,,,,,,,,,
,,,S4a10,,,,,,,,,,,,,soil_obs_maximum_depth_cm,,,,,,,,,,,,,,,,,,,
,,,S4a11,,,,,,,,,,,,,soil_restrict_depth_probe_cm,,,,,,,,,,,,,,,,,,,
,,,S4a12,,,,,,,,,,,,,soil_restrict_layer,,,,,,,,,,,,,,,,,,,
,,,S4a13,,,,,,,,,,,,,soil_rock_depth_probe_cm,,,,,,,,,,,,,,,,,,,
,,,S4a14,,,,,,,,,,,,,soil_root_depth_cm,,,,,,,,,,,,,,,,,,,
,,,S4a15,,,,,,,,,,,,,soil_sample_method,,,,,,,,,,,,,,,,,,,
,,,S4a16,,,,,,,,,,,,,soil_surface_organic_thick_cm,,,,,,,,,,,,,,,,,,,
,,,S4a17,,,,,,,,,,,,,subsurface_terrain,,,,,,,,,,,,,,,,,,,
,,,S4a18,,,,,,,,,,,,,surface_terrain,,,,,,,,,,,,,,,,,,,
,,,S4a19,,,,,,,,,,,,,water_above_below_surf,,,,,,,,,,,,,,,,,,,
,,,S4a20,,,,,,,,,,,,,water_depth_cm,,,,,,,,,,,,,,,,,,,
,,,S4a21,,,,,,,,,,,,,water_ec_us,,,,,,,,,,,,,,,,,,,
,,,S4a22,,,,,,,,,,,,,water_ph,,,,,,,,,,,,,,,,,,,
,,,S4a23,,,,,,,,,,,,,temperature_depth_cm,,,,,,,,,,,,,,,,,,,
,,,S4a24,,,,,,,,,,,,,volcanic_glass_percent,,,,,,,,,,,,,,,,,,,
,S5,,S4a25,,,,,,,,,,,,,cryoturb_ynu,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,Other Fields,,,,,,,,,,,,,,,,,,,
,O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,Method Note,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Site Note,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Horizon Note,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Peat Type Note,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"HORIZON - nomenclature, depths, etc",,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,Chemical,,,,,,,,,,,,,,,,,,,
,C1,,,,,,,,,,,,,,,"Carbon, C",,,,,,,,,,,,,,,,,,,
,C2,,,,,,,,,,,,,,,pH,,,,,,,,,,,,,,,,,,,
,C3,,,,,,,,,,,,,,,"Potassium, K",,,,,,,,,,,,,,,,,,,
,C4,,,,,,,,,,,,,,,"Nitrogen, N",,,,,,,,,,,,,,,,,,,
,C5,,,,,,,,,,,,,,,Phosphorous,,,,,,,,,,,,,,,,,,,
,C6,,,,,,,,,,,,,,,Micronutreints,,,,,,,,,,,,,,,,,,,
,C7,,,,,,,,,,,,,,,Sodicity/Salinity (Electric Conductivity),,,,,,,,,,,,,,,,,,,
,C8,,,,,,,,,,,,,,,Exchangeable Cations,,,,,,,,,,,,,,,,,,,
,C9,,,,,,,,,,,,,,,Heavy Metals,,,,,,,,,,,,,,,,,,,
,C10,,,,,,,,,,,,,,,"Other Macronutrients (Ca, Mg, S)",,,,,,,,,,,,,,,,,,,
,C11,,,,,,,,,,,,,,,Organic Matter,,,,,,,,,,,,,,,,,,,
,C12,,,,,,,,,,,,,,,Other Elements,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,Biological,,,,,,,,,,,,,,,,,,,
,B1,,,,,,,,,,,,,,,Soil Respiration,,,,,,,,,,,,,,,,,,,
,B2,,,,,,,,,,,,,,,Enzymes,,,,,,,,,,,,,,,,,,,
,B3,,,,,,,,,,,,,,,Microbial Community Characteristics ,,,,,,,,,,,,,,,,,,,
,B4,,,,,,,,,,,,,,,Root Health,,,,,,,,,,,,,,,,,,,
,B6,,,,,,,,,,,,,,,Meso/Macro fauna,,,,,,,,,,,,,,,,,,,
,B7,,,,,,,,,,,,,,,weeds/diseases/pests,,,,,,,,,,,,,,,,,,,
,B8,,,,,,,,,,,,,,,Bioavailable Nitrogen,,,,,,,,,,,,,,,,,,,
,B9,,,,,,,,,,,,,,,Soil Health Index/Rating,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,,,,
,P1,,,C,,,,,,,,,,,,Aggregate Stability,,,,,,,,,,,,,,,,,,,
,P2,,,,,,,,,,,,,,,"Waterstorage (Water holding capacity (WHC), etc)",,,,,,,,,,,,,,,,,,,
,P3,,,,,,,,,,,,,,,Bulk Density (BD)/Porosity,,,,,,,,,,,,,,,,,,,
,P4,,,,,,,,,,,,,,,Texture,,,,,,,,,,,,,,,,,,,
,P5,,,,,,,,,,,,,,,Penetration Resistance,,,,,,,,,,,,,,,,,,,
,P6,,,,,,,,,,,,,,,Hydraulic Conductivity/Infiltration/Runoff,,,,,,,,,,,,,,,,,,,
,P8,,,,,,,,,,,,,,,Temperature,,,,,,,,,,,,,,,,,,,
,P9,,,,,,,,,,,,,,,Geomorphic Information,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,Morphology (Color/structure/smell/erosion/depth/VESS),,,,,,,,,,,,,,,,,,,
,M1,,,,,,,,,,,,,,,Color,,,,,,,,,,,,,,,,,,,
,M2,,,,,,,,,,,,,,,Redoximorphic Features,,,"Hills, Terraces and Stepped Landforms, Mountains, Flat Plains",,,,,,,,,,,,,,,,
,M3,,,,,,,,,,,,,,,Mottles,,,,,,,,,,,,,,,,,,,
,M4,,,,,,,,,,,,,,,Concentrations,,,,,,,,,,,,,,,,,,,
,M5,,,,,,,,,,,,,,,Pedogenic Carbonate Stages,,,,,,,,,,,,,,,,,,,
,M6,,,,,,,,,,,,,,,Texture Modifiers,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,Site,,,,,,,,,,,,,,,,,,,
,S1,,,,,,,,,,,,,,,"Geospatial Information (accuracy, time, h datum, handheld_gps, latitude, longitude, loc origin, geospatial quality ranking)",,,,,,,,,,,,,,,,,,,
,M2,,,,,,,,,,,,,,,elevation,,,,,,,,,,,,,,,,,,,
,M3,,,,,,,,,,,,,,,Mottles,,,,,,,,,,,,,,,,,,,
,M4,,,,,,,,,,,,,,,Concentrations,,,,,,,,,,,,,,,,,,,
,M5,,,,,,,,,,,,,,,Pedogenic Carbonate Stages,,,,,,,,,,,,,,,,,,,
,M6,,,,,,,,,,,,,,,Texture Modifiers,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,Dataset metadata,,,,,,,,,,,,,,,,,,,
,D1,,,,,,,,,,,,,,,Client/funder report / citation / title,,,,,,,,,,,,,,,,,,,
,D2,,,,,,,,,,,,,,,Project ID,,,,,,,,,,,,,,,,,,,
,M3,,,,,,,,,,,,,,,Mottles,,,,,,,,,,,,,,,,,,,
,M4,,,,,,,,,,,,,,,Concentrations,,,,,,,,,,,,,,,,,,,
,M5,,,,,,,,,,,,,,,Pedogenic Carbonate Stages,,,,,,,,,,,,,,,,,,,
,M6,,,,,,,,,,,,,,,Texture Modifiers,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,H?,,,,,,,,,,,,,Profile ID,,,,,,,,,,,,,,,,,,,
,,,H?,,,,,,,,,,,,,Horizon Layer ID,,,,,,,,,,,,,,,,,,,
,,,H?,,,,,,,,,,,,,Top depth of horizon (cm),,,,,,,,,,,,,,,,,,,
,,,H?,,,,,,,,,,,,,Bottom depth of horizon (cm),,,,,,,,,,,,,,,,,,,
,,,H?,,,,,,,,,,,,,Horizon depths of top to bottom of horizon (cm) ie (18-26 cm),,,,,,,,,,,,,,,,,,,
,,,H?,,,,,,,,,,,,,Profile max sample depth (cm),,,,,,,,,,,,,,,,,,,
,,,H?,,,,,,,,,,,,,Depth of horizon from soil surface,,,,,,,,,,,,,,,,,,,
,,,H?,,,,,,,,,,,,,Bottom depth of horizon from soil surface,,,,,,,,,,,,,,,,,,,
,,,H?,,,,,,,,,,,,,Horizon thickness (cm),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Soil Taxonomy,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Soil Order,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Soil Suborder,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Soil Greatgroup,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Soil Subgroup,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Soil Family,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Soil Series,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Full Soil Taxonomy,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
